feature,importance
normalized_spin_axis,22375233.63892591
release_spin_rate,13477281.116677523
speed_spin_ratio,12164082.062943995
spin_axis,11304708.471493721
release_pos_x,10299936.169630177
pfx_x,8384376.366261035
spin_efficiency,7490944.7422840595
pfx_z,6511173.011145655
spin_axis_deviation_from_fastball,5820061.960230947
release_speed,4902329.644189462
abs_horizontal_movement,4503452.323791027
sink_rate,3714877.616714552
release_position_magnitude,3318343.3377185464
movement_angle,2627938.5683653355
release_pos_z,2461022.480178356
movement_magnitude,1993406.3437063694
horizontal_vertical_ratio,1047036.8130197525
vertical_rise,470526.52974939346
p_throws,197428.21864128113
